Court_Id,Name,Borough,Location,Num_Of_Courts,Indoor_Outdoor,Tennis_Type,Accessible,Info,Lat,Lon
Q448,Roy Wilkins Park,Queens,Merrick Blvd. & 119 Ave.,4,Outdoor,Hard,N,,40.686,-73.77
Q107,Springfield Park,Queens,147 Ave. & Springfield Ave.,2,Outdoor,Hard,N,,40.6598,-73.7623
Q051,St. Albans Park,Queens,Merrick Blvd. & 172nd St.,2,Outdoor,Hard,N,,40.6939,-73.7801
Q413,Victor Hanson Community Center (Rochdale Park),Queens,Guy Brewer Blvd. & 134th Ave.,6,Outdoor,Hard,N,,40.6744,-73.7739
Q373,East Elmhurst (PS 127),Queens,25 Ave. & 98 St.-100 St.,1,Outdoor,Hard,N,,40.7651,-73.8707
R015,Charles Kasper Tennis Courts,Staten Island,Bard Ave. & Delafield Place,6,Outdoor,All Weather,N,Lessons Offered,40.6433,-74.1087
R031,Wolfe's Pond Park,Staten Island,"Cornelia Ave., off of Hylan Blvd.",2,Outdoor,All Weather,Y,Lessons Offered,40.5194,-74.1868
M104,Sportime at Randall's Island,Manhattan,Randall's Island Park,24,Indoor,Hard,N,"<p>The Sportime Tennis Center is a concession offering 12 courts to <a href=""/things-to-do/tennis"">NYC Parks Tennis Permit</a> holders during the outdoor season, which is from the Friday before Memorial Day through Labor Day. For more information, visit the <a href=https://www.sportimeny.com/manhattan>Sportime Randall&#39;s Island tennis page</a>. Designated NYC Parks Courts:</p>  <ul> 	<li>Walk-ins only for designated NYC Parks courts and Online Reservation System for limited amount of courts to be reserved and paid ahead of time.</li> 	<li>limited to one (1) hour for singles play, and two (2) hours for doubles play, although players may keep playing after their reserved times have ended if courts are available, upon confirming such availability with club staff.</li> 	<li>All players using designated NYC Parks courts must affiliate with SPORTIME as an associate/non-member, and complete a waiver, prior to play. No Exceptions.</li> 	<li>A reserved court is forfeited if the reserving player has not arrived by 5 minutes past the start time.</li> </ul>",40.7943,-73.9198
M070,Sutton Tennis at Queensboro Oval,Manhattan,York Ave. Between E 59 St. & E 60 St.,8,Indoor,Clay,Y,"Lessons are offered. Six courts are available to NYC Parks tennis permit holders from April 14 - September 14. For booking courts and program information please call or visit <a href=""https://www.suttoneasttennis.com"">Sutton East Tennis Club's</a> website.",40.7594,-73.9602
Q001A,Commonpoint Queens Tennis and Athletic Center at Alley Pond,Queens,Queens Village 79-20 Winchester Boulevard,16,Indoor,Hard,N,"Lessons offered. During the indoor season (October - April), 11 courts are available to rent for a fee. During the outdoor season (May &ndash; September), 11 courts are available for Parks tennis permit holders. For booking courts and program information please call (718) 255-2127 or visit <a href=""https://www.commonpointqueens.org/hours-locations/tennis/"">Commonpoint Queens Tennis and Athletic Center&rsquo;s website</a>.",40.7394,73.7361
B407,South Oxford Park,Brooklyn,Cumberland Street between Atlantic Commons and Atlantic Avenue,2,Outdoor,Hard,,,40.6836,-73.9722
X210,Governor Smith Playground,Bronx,Morris Avenue between E. 151 and E. 153 Streets,3,Outdoor,Hard,,,40.8196,-73.9202
M308,Washington Market Park,Manhattan,Chambers St. & West St.,1,Outdoor,Hard,,,40.7171,-74.0123
B025,Cooper Park Tennis Courts,Brooklyn,"Morgan Ave, between Maspeth Ave and Sharon St",2,Outdoor,Hard,N,,40.716,-73.9364
Q099,World's Fair Playground,Queens,62nd Drive & Grand Central Parkway Extension,1,Outdoor,Hard,N,,40.7375,-73.8464
R153,Fairview Park,Staten Island,"Bricktown Way, near parking lot",2,Outdoor,Hard,Y,,40.5315,-74.2317
